n,X,H,C_centered,E_centered,identity_err
3377,11410883,-245.0,292.3958380661061,268.69791903310556,1.0504663805477321e-10
3378,11417640,-285.0,319.71981387501,302.35990693755025,9.049472282640636e-11
3379,11424399,-360.0,257.15635365112394,308.57817682548966,1.446096575818956e-10
3380,11431160,-264.0,232.41421073196398,248.2071053659365,9.094947017729282e-11
3381,11437923,-196.0,154.71267813553277,175.3563390678264,1.2005330063402653e-10
3382,11444688,-99.0,110.17935742205009,104.58967871098662,7.685230229981244e-11
3383,11451455,-79.0,176.79555302746303,127.89777651372606,1.0913936421275139e-11
3384,11458224,-86.0,213.5241577653942,149.7620788826839,2.637534635141492e-11
3385,11464995,-165.0,171.44622789352434,168.2231139468504,1.7644197214394808e-10
3386,11471768,-290.0,246.20975730731152,268.1048786537483,1.850821718107909e-10
3387,11478543,-435.0,308.85487259311776,371.9274362965416,3.456079866737127e-11
3388,11485320,-374.0,301.9508361391054,337.97541806963545,1.6552803572267294e-10
3389,11492099,-308.0,265.1686265668832,286.5843132834914,9.958966984413564e-11
3390,11498880,-376.0,276.0216769531835,326.010838476702,2.205524651799351e-10
3391,11505663,-422.0,395.70260606006195,408.85130303016103,2.601154847070575e-10
3392,11512448,-373.0,281.2205898696993,327.1102949348642,2.9103830456733704e-11
3393,11519235,-360.0,294.22785145904345,327.11392572965315,2.6284396881237626e-10
3394,11526024,-386.0,251.15498414525064,318.57749207270604,1.6143530956469476e-10
3395,11532815,-502.0,275.32282079258584,388.66141039628747,1.0913936421275139e-11
3396,11539608,-493.0,260.6872985660302,376.8436492830417,5.32054400537163e-11
3397,11546403,-506.0,254.9924232304911,380.49621161530445,1.177795638795942e-10
3398,11553200,-585.0,281.8667086760397,433.4333543380901,1.405169314239174e-10
3399,11559999,-610.0,253.18248565097747,431.5912428255376,9.777068044058979e-11
3400,11566800,-686.0,295.83373833941005,490.91686916970957,9.094947017729282e-12
3401,11573603,-758.0,248.20262709072267,503.1013135454846,2.4647306418046355e-10
