type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,100,73,1,100,14.142135623730873,14.142135623730951,1.4142135623730874
complete,100,74,2,100,7.800057519991153e-14,20.0,7.800057519991153e-15
complete,100,75,25,100,70.71067811865483,70.71067811865476,7.071067811865483
complete,100,76,4,100,19.999999999999986,28.284271247461902,1.9999999999999987
complete,100,77,1,100,14.142135623731214,14.142135623730951,1.4142135623731213
complete,100,78,2,100,1.5457131644062234e-13,20.0,1.5457131644062233e-14
complete,100,79,1,100,14.142135623730857,14.142135623730951,1.4142135623730856
complete,100,80,20,100,44.72135954999551,63.245553203367585,4.472135954999551
complete,100,81,1,100,14.142135623730946,14.142135623730951,1.4142135623730945
complete,100,82,2,100,4.970080495605549e-13,20.0,4.9700804956055486e-14
complete,100,83,1,100,14.142135623730978,14.142135623730951,1.4142135623730978
complete,100,84,4,100,20.00000000000008,28.284271247461902,2.000000000000008
complete,100,85,5,100,31.622776601683963,31.622776601683793,3.1622776601683964
complete,100,86,2,100,4.248608144791664e-13,20.0,4.2486081447916644e-14
complete,100,87,1,100,14.142135623730738,14.142135623730951,1.4142135623730738
complete,100,88,4,100,20.000000000000405,28.284271247461902,2.0000000000000404
complete,100,89,1,100,14.142135623730518,14.142135623730951,1.4142135623730518
complete,100,90,10,100,5.095792099342529e-13,44.721359549995796,5.095792099342529e-14
complete,100,91,1,100,14.142135623731008,14.142135623730951,1.4142135623731007
complete,100,92,4,100,20.00000000000025,28.284271247461902,2.000000000000025
complete,100,93,1,100,14.142135623731583,14.142135623730951,1.4142135623731584
complete,100,94,2,100,8.925828835883972e-13,20.0,8.925828835883972e-14
complete,100,95,5,100,31.62277660168377,31.622776601683793,3.1622776601683773
complete,100,96,4,100,20.000000000000036,28.284271247461902,2.0000000000000036
complete,100,97,1,100,14.142135623731123,14.142135623730951,1.4142135623731122
complete,100,98,2,100,6.889777889764343e-13,20.0,6.889777889764343e-14
complete,100,99,1,100,14.142135623730214,14.142135623730951,1.4142135623730214
complete,225,1,1,225,14.999999999999993,21.213203435596427,0.9999999999999996
complete,225,2,1,225,14.999999999999991,21.213203435596427,0.9999999999999994
complete,225,3,3,225,25.980762113533164,36.742346141747674,1.7320508075688776
complete,225,4,1,225,14.99999999999999,21.213203435596427,0.9999999999999993
complete,225,5,5,225,33.541019662496836,47.43416490252569,2.236067977499789
complete,225,6,3,225,25.98076211353313,36.742346141747674,1.7320508075688754
complete,225,7,1,225,15.000000000000025,21.213203435596427,1.0000000000000016
complete,225,8,1,225,14.99999999999998,21.213203435596427,0.9999999999999987
complete,225,9,9,225,44.999999999999986,63.63961030678928,2.999999999999999
complete,225,10,5,225,33.541019662496936,47.43416490252569,2.2360679774997956
complete,225,11,1,225,15.000000000000018,21.213203435596427,1.000000000000001
complete,225,12,3,225,25.980762113533153,36.742346141747674,1.732050807568877
complete,225,13,1,225,15.000000000000032,21.213203435596427,1.0000000000000022
complete,225,14,1,225,14.9999999999999,21.213203435596427,0.9999999999999933
complete,225,15,15,225,58.094750193111324,82.15838362577492,3.8729833462074215
complete,225,16,1,225,15.000000000000053,21.213203435596427,1.0000000000000036
complete,225,17,1,225,14.999999999999831,21.213203435596427,0.9999999999999888
complete,225,18,9,225,45.00000000000001,63.63961030678928,3.0000000000000004
complete,225,19,1,225,14.999999999999973,21.213203435596427,0.9999999999999982
complete,225,20,5,225,33.54101966249678,47.43416490252569,2.2360679774997854
complete,225,21,3,225,25.980762113533057,36.742346141747674,1.7320508075688705
complete,225,22,1,225,14.999999999999964,21.213203435596427,0.9999999999999977
complete,225,23,1,225,15.000000000000092,21.213203435596427,1.0000000000000062
complete,225,24,3,225,25.980762113533018,36.742346141747674,1.7320508075688679
complete,225,25,25,225,74.99999999999991,106.06601717798213,4.999999999999995
complete,225,26,1,225,14.999999999999794,21.213203435596427,0.9999999999999862
complete,225,27,9,225,44.99999999999987,63.63961030678928,2.9999999999999916
complete,225,28,1,225,15.000000000000021,21.213203435596427,1.0000000000000013
complete,225,29,1,225,15.000000000000238,21.213203435596427,1.0000000000000158
complete,225,30,15,225,58.094750193111345,82.15838362577492,3.872983346207423
complete,225,31,1,225,14.999999999999611,21.213203435596427,0.999999999999974
complete,225,32,1,225,14.999999999999732,21.213203435596427,0.9999999999999821
complete,225,33,3,225,25.980762113533245,36.742346141747674,1.732050807568883
complete,225,34,1,225,14.99999999999964,21.213203435596427,0.9999999999999759
complete,225,35,5,225,33.541019662496765,47.43416490252569,2.2360679774997845
complete,225,36,9,225,44.999999999999986,63.63961030678928,2.999999999999999
complete,225,37,1,225,14.999999999999673,21.213203435596427,0.9999999999999782
complete,225,38,1,225,14.999999999999908,21.213203435596427,0.9999999999999939
complete,225,39,3,225,25.980762113533288,36.742346141747674,1.7320508075688859
complete,225,40,5,225,33.54101966249677,47.43416490252569,2.236067977499785
complete,225,41,1,225,15.000000000000277,21.213203435596427,1.0000000000000184
complete,225,42,3,225,25.980762113533515,36.742346141747674,1.732050807568901
complete,225,43,1,225,15.0000000000005,21.213203435596427,1.0000000000000333
complete,225,44,1,225,15.000000000000474,21.213203435596427,1.0000000000000315
complete,225,45,45,225,100.62305898749068,142.30249470757707,6.708203932499378
complete,225,46,1,225,15.000000000000227,21.213203435596427,1.000000000000015
complete,225,47,1,225,14.999999999999748,21.213203435596427,0.9999999999999832
complete,225,48,3,225,25.980762113533217,36.742346141747674,1.7320508075688812
complete,225,49,1,225,15.000000000000423,21.213203435596427,1.0000000000000282
complete,225,50,25,225,75.00000000000006,106.06601717798213,5.0000000000000036
complete,225,51,3,225,25.980762113532943,36.742346141747674,1.732050807568863
complete,225,52,1,225,15.00000000000027,21.213203435596427,1.000000000000018
complete,225,53,1,225,14.999999999999918,21.213203435596427,0.9999999999999946
complete,225,54,9,225,44.99999999999986,63.63961030678928,2.9999999999999907
complete,225,55,5,225,33.54101966249722,47.43416490252569,2.2360679774998147
complete,225,56,1,225,14.999999999999808,21.213203435596427,0.9999999999999872
complete,225,57,3,225,25.980762113533267,36.742346141747674,1.7320508075688845
complete,225,58,1,225,14.999999999999424,21.213203435596427,0.9999999999999616
complete,225,59,1,225,15.0000000000001,21.213203435596427,1.0000000000000067
complete,225,60,15,225,58.094750193111224,82.15838362577492,3.872983346207415
complete,225,61,1,225,14.99999999999966,21.213203435596427,0.9999999999999774
complete,225,62,1,225,15.000000000000233,21.213203435596427,1.0000000000000155
complete,225,63,9,225,45.00000000000088,63.63961030678928,3.0000000000000586
complete,225,64,1,225,14.999999999999353,21.213203435596427,0.9999999999999569
complete,225,65,5,225,33.54101966249699,47.43416490252569,2.2360679774997996
complete,225,66,3,225,25.980762113533128,36.742346141747674,1.7320508075688752
complete,225,67,1,225,15.00000000000012,21.213203435596427,1.000000000000008
complete,225,68,1,225,14.99999999999999,21.213203435596427,0.9999999999999993
complete,225,69,3,225,25.980762113533842,36.742346141747674,1.7320508075689227
complete,225,70,5,225,33.541019662497504,47.43416490252569,2.2360679774998338
complete,225,71,1,225,14.999999999999138,21.213203435596427,0.9999999999999426
complete,225,72,9,225,45.00000000000007,63.63961030678928,3.000000000000005
complete,225,73,1,225,14.999999999999265,21.213203435596427,0.9999999999999509
